Entity,Code,Continent
Moldova,MDA,Europe
Monaco,MCO,Europe
Mongolia,MNG,Asia
Montenegro,MNE,Europe
Montserrat,MSR,North America
Morocco,MAR,Africa
Mozambique,MOZ,Africa
Myanmar,MMR,Asia
Nagorno-Karabakh,OWID_NAG,Asia
Namibia,NAM,Africa
Nauru,NRU,Oceania
Nepal,NPL,Asia
Netherlands,NLD,Europe
Netherlands Antilles,ANT,North America
New Caledonia,NCL,Oceania
New Zealand,NZL,Oceania
Nicaragua,NIC,North America
Niger,NER,Africa
Nigeria,NGA,Africa
Niue,NIU,Oceania
Norfolk Island,NFK,Oceania
North Korea,PRK,Asia
North Macedonia,MKD,Europe
Northern Cyprus,OWID_CYN,Asia
Northern Mariana Islands,MNP,Oceania
Norway,NOR,Europe
Oman,OMN,Asia
Pakistan,PAK,Asia
Palau,PLW,Oceania
Palestine,PSE,Asia
Panama,PAN,North America
Papua New Guinea,PNG,Oceania
Paraguay,PRY,South America
Parma,OWID_PMA,Europe
Peru,PER,South America
Philippines,PHL,Asia
Pitcairn,PCN,Oceania
Poland,POL,Europe
Portugal,PRT,Europe
Puerto Rico,PRI,North America
Qatar,QAT,Asia
Republic of Vietnam,OWID_RVN,Asia
Reunion,REU,Africa
Romania,ROU,Europe
Russia,RUS,Europe
Rwanda,RWA,Africa
Saint Barthélemy,BLM,North America
Saint Helena,SHN,Africa
Saint Kitts and Nevis,KNA,North America
Saint Lucia,LCA,North America
Saint Martin (French part),MAF,North America
Saint Pierre and Miquelon,SPM,North America
Saint Vincent and the Grenadines,VCT,North America
Samoa,WSM,Oceania
San Marino,SMR,Europe
Sao Tome and Principe,STP,Africa
Saudi Arabia,SAU,Asia
Saxony,OWID_SAX,Europe
Senegal,SEN,Africa
Serbia,SRB,Europe
Serbia and Montenegro,OWID_SRM,Europe
Serbia excluding Kosovo,OWID_SEK,Europe
Seychelles,SYC,Africa
Sierra Leone,SLE,Africa
Singapore,SGP,Asia
Sint Maarten (Dutch part),SXM,North America
Slovakia,SVK,Europe
Slovenia,SVN,Europe
Solomon Islands,SLB,Oceania
Somalia,SOM,Africa
Somaliland,OWID_SML,Africa
South Africa,ZAF,Africa
South Georgia and the South Sandwich Islands,SGS,South America
South Korea,KOR,Asia
South Ossetia,OWID_SOS,Asia
South Sudan,SSD,Africa
Spain,ESP,Europe
Sri Lanka,LKA,Asia
Sudan,SDN,Africa
Suriname,SUR,South America
Svalbard and Jan Mayen,SJM,Europe
Sweden,SWE,Europe
Switzerland,CHE,Europe
Syria,SYR,Asia
Taiwan,TWN,Asia
Tajikistan,TJK,Asia
Tanzania,TZA,Africa
Thailand,THA,Asia
Timor,TLS,Asia
Togo,TGO,Africa
Tokelau,TKL,Oceania
Tonga,TON,Oceania
Transnistria,OWID_TRS,Europe
Trinidad and Tobago,TTO,North America
Tunisia,TUN,Africa
Turkey,TUR,Asia
Turkmenistan,TKM,Asia
Turks and Caicos Islands,TCA,North America
Tuscany,OWID_TUS,Europe
Tuvalu,TUV,Oceania
Two Sicilies,OWID_SIC,Europe
USSR,OWID_USS,Europe
Uganda,UGA,Africa
Ukraine,UKR,Europe
United Arab Emirates,ARE,Asia
United Kingdom,GBR,Europe
United Korea,OWID_KRU,Asia
United States,USA,North America
United States Minor Outlying Islands,UMI,Oceania
United States Virgin Islands,VIR,North America
Uruguay,URY,South America
Uzbekistan,UZB,Asia
Vanuatu,VUT,Oceania
Vatican,VAT,Europe
Venezuela,VEN,South America
Vietnam,VNM,Asia
Wallis and Futuna,WLF,Oceania
West Germany,OWID_GFR,Europe
Western Sahara,ESH,Africa
Wuerttemburg,OWID_WRT,Europe
Yemen,YEM,Asia
Yemen Arab Republic,OWID_YAR,Asia
Yemen People's Republic,OWID_YPR,Asia
Yugoslavia,OWID_YGS,Europe
Zambia,ZMB,Africa
Zanzibar,OWID_ZAN,Africa
Zimbabwe,ZWE,Africa
Åland Islands,ALA,Europe
